Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
"AVP, Specialist, Data/Business Analyst, Consumer Banking",DBS Bank (Hong Kong) Limited,,False,Banking & Financial Services,2024-07-04 04:00:00,77042160,https://hk.jobsdb.com/job/77042160,San Tin,Yuen Long,New Territories,0,0
EOI - Regional Space Data Analyst,CBRE Advisory Hong Kong Limited,3,False,Real Estate & Property,2024-06-22 04:00:00,76736594,https://hk.jobsdb.com/job/76736594,,Central and Western,Hong Kong,0,0
Application Consultant Trainee,K-Solve Global Limited,,False,Information & Communication Technology,2024-07-17 15:00:00,77343838,https://hk.jobsdb.com/job/77343838,Kowloon Bay,Kwun Tong,Kowloon,0,0
Business Solution Assistant,DKSH Hong Kong Limited,,False,Information & Communication Technology,2024-06-28 04:00:00,76885618,https://hk.jobsdb.com/job/76885618,,Southern,Hong Kong,0,0
System Analyst (TCMA),Purapharm International (H.K.) Limited,5,False,Information & Communication Technology,2024-06-29 04:00:00,76896398,https://hk.jobsdb.com/job/76896398,Science Park,Tai Po,New Territories,0,0
QA Engineer,ASMPT Technology Hong Kong Limited,,False,"Manufacturing, Transport & Logistics",2024-07-03 04:00:00,76975392,https://hk.jobsdb.com/job/76975392,Tsing Yi,Kwai Tsing,New Territories,0,0
Senior Market Analyst,PCCW Global Limited,,False,Banking & Financial Services,2024-06-27 04:00:00,76841668,https://hk.jobsdb.com/job/76841668,,,Hong Kong,0,0
Trading Analyst | Blockchain | IT Tech,PeopleLink Services Limited,,False,Information & Communication Technology,2024-07-13 04:00:00,77250790,https://hk.jobsdb.com/job/77250790,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
"Engineer, Backend",Standard Chartered Bank,,False,Information & Communication Technology,2024-07-03 04:00:00,76978415,https://hk.jobsdb.com/job/76978415,Quarry Bay,Eastern,Hong Kong,0,0
Senior Manager - Storage and Data Backup (Ref# SMSADB20240716J),Hong Kong Cyberport Management Co Ltd,1,True,Information & Communication Technology,2024-07-17 04:00:00,77320526,https://hk.jobsdb.com/job/77320526,Cyberport,Southern,Hong Kong,0,0
Business Development Manager (Double pay),SAVINO DEL BENE CHINA LIMITED,3,False,"Manufacturing, Transport & Logistics",2024-07-10 04:00:00,77151430,https://hk.jobsdb.com/job/77151430,,Sha Tin,New Territories,0,0
Consultant Specialist (HQ Ref. #P24037),Monkey Tree English Learning Center,5,False,CEO & General Management,2024-07-04 04:00:00,77004723,https://hk.jobsdb.com/job/77004723,,,Hong Kong,0,0
Helpdesk Analyst,Lucky27 Limited,,False,Call Centre & Customer Service,2024-07-17 11:00:00,77337556,https://hk.jobsdb.com/job/77337556,,Central and Western,Hong Kong,0,0
(Up to 55K-75K) System Analyst/ Analyst Programmer / Business Analyst,Seamatch Asia Limited,2,True,Information & Communication Technology,2024-07-16 04:00:00,77275191,https://hk.jobsdb.com/job/77275191,,Central and Western,Hong Kong,55000,75000
Marketing & Promotions Officer (CRM) - Citygate,Swire Properties Limited 太古地產有限公司,3,False,Marketing & Communications,2024-07-17 12:00:00,76988466,https://hk.jobsdb.com/job/76988466,Tung Chung,Islands,New Territories,0,0
Digital Specialist,IPG Mediabrands (HK) Limited,0,False,Information & Communication Technology,2024-07-11 04:00:00,77171931,https://hk.jobsdb.com/job/77171931,Quarry Bay,Eastern,Hong Kong,0,0
Sales Manager / Asst. Sales Manager (Key Account),Aji-No-Chinmi Co (Hong Kong) Ltd,2,False,Sales,2024-07-10 04:00:00,77143477,https://hk.jobsdb.com/job/77143477,Tsing Yi,Kwai Tsing,New Territories,0,0
Business Development Analyst (Real Estate),PURE International (Hong Kong) Ltd,,False,Banking & Financial Services,2024-07-17 11:00:00,77339074,https://hk.jobsdb.com/job/77339074,Central,Central and Western,Hong Kong,0,0
Junior Trader in the Pulp and Paper Industry (m/f/d) - South-East Asia,Europcell Hong Kong Limited,,False,Sales,2024-06-27 04:00:00,76852079,https://hk.jobsdb.com/job/76852079,,Sha Tin,New Territories,0,0
"AVP, Quantitative Risk Management, Group Risk Management",ConnectedGroup Limited,6,False,Banking & Financial Services,2024-07-17 04:00:00,77318052,https://hk.jobsdb.com/job/77318052,,Central and Western,Hong Kong,0,0
System Analyst (HK Island / Airport) (Ref: JDB/ENS/SA),Computer And Technologies Solutions Limited,3,True,Information & Communication Technology,2024-07-16 04:00:00,77285194,https://hk.jobsdb.com/job/77285194,,Hong Kong Island,Hong Kong,0,0
"Assistant Manager / Bank Officer, Customer Data Maintenance (6-month contract)",OCBC Bank (Hong Kong) Limited,5,False,Banking & Financial Services,2024-07-17 04:00:00,76875943,https://hk.jobsdb.com/job/76875943,Sheung Wan,Central and Western,Hong Kong,0,0
Partnerships Manager - Mox (4452),Standard Chartered Bank,1,False,Banking & Financial Services,2024-07-03 04:00:00,76982391,https://hk.jobsdb.com/job/76982391,Quarry Bay,Eastern,Hong Kong,0,0
Assistant Client Engagement Manager (Luxury Fashion Brand),Magic Search Limited,6,False,Marketing & Communications,2024-07-04 04:00:00,77019269,https://hk.jobsdb.com/job/77019269,,,Hong Kong,0,0
